"	https://analytics.amplitude.com/tikivn/chart/lw987qr"
"	Ngon-search keywords 2"

"	Totals"
"	Search","	search_keyword","	detected_l1_category_name is ""NGON"" or ""TIKINGON"" or ""TikiNGON"" or ""TIKINGON OLD"""

"	search_keyword","	2022-05-24","	2022-05-25","	2022-05-26","	2022-05-27","	2022-05-28","	2022-05-29","	2022-05-30","	2022-05-31","	2022-06-01","	2022-06-02","	2022-06-03","	2022-06-04","	2022-06-05","	2022-06-06","	2022-06-07","	2022-06-08","	2022-06-09","	2022-06-10","	2022-06-11","	2022-06-12","	2022-06-13","	2022-06-14","	2022-06-15","	2022-06-16","	2022-06-17","	2022-06-18","	2022-06-19","	2022-06-20","	2022-06-21","	2022-06-22","	2022-06-23","	2022-06-24","	2022-06-25","	2022-06-26","	2022-06-27","	2022-06-28","	2022-06-29","	2022-06-30","	2022-07-01","	2022-07-02","	2022-07-03","	2022-07-04","	2022-07-05","	2022-07-06","	2022-07-07","	2022-07-08","	2022-07-09","	2022-07-10","	2022-07-11","	2022-07-12","	2022-07-13","	2022-07-14","	2022-07-15","	2022-07-16","	2022-07-17","	2022-07-18","	2022-07-19","	2022-07-20","	2022-07-21","	2022-07-22","	2022-07-23","	2022-07-24","	2022-07-25","	2022-07-26","	2022-07-27","	2022-07-28","	2022-07-29","	2022-07-30","	2022-07-31","	2022-08-01","	2022-08-02","	2022-08-03","	2022-08-04","	2022-08-05","	2022-08-06","	2022-08-07","	2022-08-08","	2022-08-09","	2022-08-10","	2022-08-11","	2022-08-12","	2022-08-13","	2022-08-14","	2022-08-15","	2022-08-16","	2022-08-17","	2022-08-18","	2022-08-19","	2022-08-20","	2022-08-21","	2022-08-22"
"	7Up","801","949","745","1225","185","848","27","46","851","182","746","237","414","107","586","129","905","248","234","120","65","446","385","68","333","75","314","338","89","0","934","1036","236","1","0","0","596","100","476","724","809","163","502","677","695","947","396","112","681","544","135","1","334","66","637","163","0","716","294","673","216","179","15","11","17","1","0","8","0","0","6","4","5","0","9","10","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"	milo","232","208","172","201","145","102","244","165","282","151","221","205","239","427","178","201","119","136","115","157","109","113","148","115","123","105","137","110","123","256","182","198","269","130","130","128","99","120","144","153","143","134","141","201","367","230","159","122","171","212","115","109","385","184","106","146","184","159","156","160","104","91","102","132","375","209","183","192","117","154","145","185","177","193","239","273","624","258","276","45","0","179","162","277","51","0","0","228","32","100","39"
"	dầu ăn","348","533","333","314","45","273","45","179","365","398","392","60","0","498","359","57","308","80","0","0","241","388","315","398","397","37","0","239","306","76","430","425","75","0","217","44","245","323","57","342","78","0","0","293","733","59","277","371","301","312","279","35","198","280","262","57","0","290","62","169","217","208","209","197","217","13","0","0","0","0","0","206","246","52","243","327","149","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	bia tiger","0","0","0","274","65","1","183","211","396","44","257","48","255","706","328","319","44","0","0","0","0","504","410","295","319","52","233","188","34","0","251","349","58","0","238","33","149","190","256","222","62","0","0","213","491","300","226","204","190","173","48","0","156","36","151","34","172","214","34","169","81","0","160","214","278","64","0","239","44","0","229","348","78","0","0","259","259","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	bia","171","204","225","221","52","173","259","208","192","231","233","50","237","521","218","209","231","39","0","0","185","223","215","251","207","35","141","168","208","92","267","255","55","0","175","25","112","27","181","214","14","0","0","221","402","260","237","31","105","185","42","1","150","31","175","40","0","144","16","120","184","31","92","163","162","27","0","183","26","0","151","181","25","206","54","204","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	aquafina","507","400","1141","1197","397","254","275","226","243","213","269","211","452","584","353","647","63","42","10","40","44","40","31","35","39","23","31","41","44","44","42","67","18","5","20","27","38","24","46","42","38","38","26","36","64","30","26","24","9","21","27","2","25","26","26","29","14","23","2","23","22","28","36","18","40","11","12","20","33","10","32","23","10","31","30","50","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
