"	https://analytics.amplitude.com/tikivn/chart/zjcx8lq"
"	Ngon - search keywords 3"

"	Totals"
"	View tikingon hub search","	search_keyword"

"	search_keyword","	2022-05-24","	2022-05-25","	2022-05-26","	2022-05-27","	2022-05-28","	2022-05-29","	2022-05-30","	2022-05-31","	2022-06-01","	2022-06-02","	2022-06-03","	2022-06-04","	2022-06-05","	2022-06-06","	2022-06-07","	2022-06-08","	2022-06-09","	2022-06-10","	2022-06-11","	2022-06-12","	2022-06-13","	2022-06-14","	2022-06-15","	2022-06-16","	2022-06-17","	2022-06-18","	2022-06-19","	2022-06-20","	2022-06-21","	2022-06-22","	2022-06-23","	2022-06-24","	2022-06-25","	2022-06-26","	2022-06-27","	2022-06-28","	2022-06-29","	2022-06-30","	2022-07-01","	2022-07-02","	2022-07-03","	2022-07-04","	2022-07-05","	2022-07-06","	2022-07-07","	2022-07-08","	2022-07-09","	2022-07-10","	2022-07-11","	2022-07-12","	2022-07-13","	2022-07-14","	2022-07-15","	2022-07-16","	2022-07-17","	2022-07-18","	2022-07-19","	2022-07-20","	2022-07-21","	2022-07-22","	2022-07-23","	2022-07-24","	2022-07-25","	2022-07-26","	2022-07-27","	2022-07-28","	2022-07-29","	2022-07-30","	2022-07-31","	2022-08-01","	2022-08-02","	2022-08-03","	2022-08-04","	2022-08-05","	2022-08-06","	2022-08-07","	2022-08-08","	2022-08-09","	2022-08-10","	2022-08-11","	2022-08-12","	2022-08-13","	2022-08-14","	2022-08-15","	2022-08-16","	2022-08-17","	2022-08-18","	2022-08-19","	2022-08-20","	2022-08-21","	2022-08-22"
"	tiger","294","241","660","432","244","179","196","147","378","520","365","258","344","413","227","232","274","237","189","220","217","184","264","321","444","352","181","184","150","137","201","214","219","174","186","162","160","162","329","205","116","178","236","181","251","234","135","195","207","120","202","322","272","145","111","130","140","170","140","162","161","128","202","143","163","215","181","118","109","199","285","294","258","320","315","173","297","189","135","133","217","135","205","138","91","91","64","101","58","65","25"
"	bia tiger","158","120","351","286","139","49","119","104","232","334","189","169","131","208","200","148","179","169","167","283","151","130","117","159","223","266","155","219","200","182","180","147","114","142","153","114","300","319","240","243","154","268","224","179","241","275","174","209","250","186","171","258","199","115","113","153","96","98","107","92","97","72","70","76","85","104","96","53","52","171","209","208","144","206","153","123","284","131","99","68","94","79","60","36","46","65","56","85","56","76","26"
"	(none)","73","91","89","103","51","47","70","62","91","169","78","160","78","267","62","61","37","46","70","51","45","48","46","59","54","142","61","57","79","95","34","43","59","44","87","107","69","400","234","212","90","61","80","34","88","50","55","40","77","67","58","34","73","120","47","37","34","46","75","62","46","36","69","46","54","43","127","77","64","74","92","64","60","59","47","53","50","50","66","60","70","180","44","51","51","79","50","48","51","47","16"
"	sầu riêng","64","39","81","67","118","88","83","70","67","55","191","394","204","76","98","67","49","38","44","54","50","80","44","49","99","96","75","101","65","83","53","51","56","90","108","90","54","33","101","91","40","52","100","45","118","52","67","58","47","32","35","45","66","60","31","25","31","31","38","48","19","60","36","24","17","29","41","17","17","22","25","17","46","20","33","39","23","19","17","14","24","102","42","13","11","20","8","17","21","6","4"
"	heineken","184","206","225","274","233","110","119","61","102","86","78","39","58","95","42","26","45","26","13","19","31","13","46","54","86","37","52","44","46","17","42","61","43","35","23","21","34","41","49","45","14","11","35","25","35","25","36","18","25","10","18","42","29","38","25","15","12","37","22","23","34","25","30","14","22","19","32","21","23","39","32","57","49","282","265","146","89","65","19","23","85","55","33","43","21","17","9","14","7","9","8"
"	big c","63","39","77","100","42","48","27","40","57","31","55","62","45","28","18","18","8","28","28","37","52","50","24","48","83","28","34","48","35","31","33","32","21","29","35","23","51","101","57","80","19","90","108","71","127","79","86","44","44","39","85","31","36","75","20","20","16","5","40","28","21","17","15","22","32","73","118","171","148","137","129","87","107","106","99","76","104","74","66","47","72","63","61","44","18","22","31","24","36","30","13"
